abbr;meaning
°C;Grad Celsius
K;Kelvin
°F;Grad Fahrenheit
°Ra;Grad Rankine
°Ré;Grad Réaumur
°Rø;Grad Rømer
°De;Grad Delisle
°N;Grad Newton
